,title,critic_score,audience_score
710,Alanis,100,59
711,Algren,100,
712,Ali Wong: Baby Cobra,100,74
713,Ali Wong: Hard Knock Wife,100,67
714,Ali: Fear Eats the Soul,100,91
715,Alice Is Still Dead,100,
716,Alice in the Cities,100,91
717,Alien Boy: The Life and Death of James Chasse,100,90
718,Alien Raiders,100,34
719,Alien Xmas,100,66
720,Aligarh,100,85
721,Alive and Kicking,100,93
722,All About Them,100,55
723,All Hands on Deck,100,68
724,All In: The Fight for Democracy,100,67
725,All Is Good,100,63
726,All Out,100,68
727,All Quiet on the Western Front,100,69
728,All This Mayhem,100,89
729,All Through the Night,100,70
730,All of Me,100,100
731,All the Wild Horses,100,83
732,All the World Is Sleeping,100,100
733,Alleluia! The Devil's Carnival,100,84
734,Alone With Her Dreams,100,80
735,AlphaGo,100,99
736,Amal,100,90
737,Ambulance,100,
738,American Harmony,100,97
739,American Heretics: The Politics of the Gospel,100,
740,American Interior,100,95
741,American Jihad,100,55
742,American Radical: The Trials of Norman Finkelstein,100,87
743,American Relapse,100,84
744,American Son,100,51
745,Among Wolves,100,92
746,América,100,
747,An Accidental Studio: The Story of HandMade Films,100,
748,An African Election,100,82
749,"Ana, mon amour",100,80
750,'Twas the Fight Before Christmas,100,56
751,...And God Spoke,100,72
752,100 Days,100,73
753,100 Days to Live,100,85
754,100 Years of Men in Love: The Accidental Collection,100,50
755,11:55,100,80
756,12 Angry Men,100,97
757,16 Acres,100,73
758,17 Blocks,100,
759,2 in the Bush: A Love Story,100,
760,2040,100,47
761,27: El club de los malditos,100,0
762,"3 1/2 Minutes, Ten Bullets",100,86
763,3 Idiots,100,93
764,32 Pills: My Sister's Suicide,100,48
765,32 Weeks,100,95
766,36,100,81
767,4 Little Girls,100,89
768,42 Grams,100,69
769,4x4,100,60
770,5-25-77,100,88
771,500 Years,100,
772,537 Votes,100,70
773,5B,100,97
774,7 Days in September,100,80
775,76 Days,100,84
776,7:19,100,53
777,808,100,68
778,99 River Street,100,81
779,9to5: The Story of A Movement,100,90
780,A Beautiful Planet,100,78
781,A Bigger Splash,100,42
782,A Bittersweet Life,100,90
783,A Brighter Summer Day,100,94
784,A Brother's Kiss,100,67
785,A Christmas Carol,100,74
786,A Conspiracy of Faith,100,67
787,A Crime on the Bayou,100,80
788,A Day in the Country,100,87
789,A Deal With the Universe,100,
790,A Foreign Affair,100,78
791,"A Good Day to Die, Hoka Hey",100,
792,A Gray State,100,58
793,A Huey P. Newton Story,100,85
794,A Kid From Coney Island,100,69
795,A Kiss Before Dying,100,49
796,A Lesson in Love,100,77
797,A Lion in the House,100,97
798,A Love Song for Latasha,100,76
799,A Man Escaped,100,93
800,A Man Vanishes,100,81
801,A Mermaid in Paris,100,64
802,A Midsummer Night's Dream,100,67
803,A Million Colours,100,72
804,A Most Beautiful Thing,100,96
805,A Night to Remember,100,90
806,A Pebble in the Pond,100,100
